detalhe_incidente;tipo_incidente;detalhe_limpo
disponível versão sisap nº disponível versão dev favor atualizar deploy sisap dev versão constar seguinte funcionalidade commitada período oscar adicionar validação usuário acesso módulo imc não botão impressão etiqueta qrcode não exibir criação relatório qrcode posto imc adicionar impressão etiquea posto imc relatório imc novo campo etapaproc emissão etiqueta Imc versão inicial novo método maquinasinfo imc código inicial impressão etiqueta disponível versão sisap nº;Nova instalação;disponível versão disponível versão dev atualizar deploy dev versão constar seguinte funcionalidade commitada período adicionar validação módulo imc botão impressão etiqueta qrcode exibir criação relatório qrcode imc adicionar impressão etiquea imc relatório imc novo campo etapaproc emissão etiqueta imc versão inicial novo método maquinasinfo imc código inicial impressão etiqueta disponível versão
disponível versão sisap nº disponível versão dev favor atualizar deploy sisap dev versão constar seguinte funcionalidade commitada período mergir branch ajustir regra realimentação permitir uso qualquer bag sem obrigar ser usar alimentação previamente ajuste pequeno evento lista alimentação imc correção lista etiqueta impressão imc adicionar validação usuário acesso módulo imc não botão impressão etiqueta qrcode não exibir criação relatório qrcode posto imc adicionar impressão etiqueta posto imc relatório imc novo campo etapaproc emissão etiqueta Imc versão inicial novo método maquinasinfo imc código inicial impressão etiqueta disponível versão sisap nº;Avaliação_Técnica;disponível versão disponível versão dev atualizar deploy dev versão constar seguinte funcionalidade commitada período mergir branch ajustir regra realimentação permitir uso qualquer bag obrigar usar alimentação previamente ajuste pequeno evento lista alimentação imc correção lista etiqueta impressão imc adicionar validação módulo imc botão impressão etiqueta qrcode exibir criação relatório qrcode imc adicionar impressão etiqueta imc relatório imc novo campo etapaproc emissão etiqueta imc versão inicial novo método maquinasinfo imc código inicial impressão etiqueta disponível versão
disponível versão sipap nº disponível versão qa favor atualizar deploy porta sipap homologação versão constar seguinte funcionalidade commitada período fix problema Merge alteração importação template imc pss tv disponível versão sipap nº;Nova instalação;disponível versão sipap disponível versão atualizar deploy porta sipap homologação versão constar seguinte funcionalidade commitada período fix merge alteração importação template imc pss disponível versão sipap
solicitar instalação local novo versão sistema portaria tv sistema ficar algum dia ser usar teste validação posteriormente ir instalar versão atualizar produção sistema obrigado solicitação instalação novo versão sistema portaria tv;Nova instalação;solicitar instalação local novo versão portaria ficar algum usar teste validação posteriormente instalar versão atualizar produção instalação novo versão portaria
solicitar instalação local novo release sistema portaria tv necessário desinstalar versão teste instalar versão atualizadade produção sistema obrigado solicitação instalação novo release sistema portaria;Nova instalação;solicitar instalação local novo release portaria necessário desinstalar versão teste instalar versão atualizadade produção instalação novo release portaria
help desk oscar menezes sobre funcionalidade parada linha;Melhorias;help desk sobre funcionalidade parada
solicitar instalação local novo versão sistema portaria tv atualização outubro sistema ficar algum dia ser usar teste validação posteriormente ir instalar versão atualizadade produção sistema obrigado instalação novo versão sistema portaria tv;Nova instalação;solicitar instalação local novo versão portaria atualização outubro ficar algum usar teste validação posteriormente instalar versão atualizadade produção instalação novo versão portaria
solicitar instalação local novo versão sistema portaria tv atualização outubro atividade instalar versão atualizadade produção sistema obrigado instalação versão produção sistema portaria tv;Melhorias;solicitar instalação local novo versão portaria atualização outubro atividade instalar versão atualizadade produção instalação versão produção portaria
disponível versão sisap nº disponível versão dev favor atualizar deploy porta sisap homologação versão constar seguinte funcionalidade commitada período adicionar página projeto menu resolução merge adicionar coluna duração total grid ajuste código sistema remoção comentário atualização regra negócio tela status resposta versão inicial funcional modal resposta versão inicial modal resposta exibir mensagem carregar corretamente ajuste layout padronização alerta fluxo tela aprovação resposta completo layout grid corriger tela resposta ficar bloquear resposta dado grid atualizar outro mudança pontual layout versão inicial tela resposta parada produção link versão inicial tela resposta parada linha adicionar emissão base lista definir plano comunicação atualização tela cadastro novo parada linha pendente seleção modelo versão inicial tela lista parada layout componente integrar atualização arquivo projeto dal adicionar arquivo ef módulo parada produção disponível versão sisap nº;Nova instalação;disponível versão disponível versão dev atualizar deploy porta homologação versão constar seguinte funcionalidade commitada período adicionar página projeto menu resolução merge adicionar coluna duração total grid ajuste código remoção comentário atualização regra negócio tela status resposta versão inicial funcional modal resposta versão inicial modal resposta exibir mensagem carregar corretamente ajuste layout padronização alerta fluxo tela aprovação resposta completo layout grid corriger tela resposta ficar bloquear resposta grid atualizar outro mudança pontual layout versão inicial tela resposta parada produção link versão inicial tela resposta parada adicionar emissão base lista definir plano comunicação atualização tela cadastro novo parada pendente seleção modelo versão inicial tela lista parada layout componente integrar atualização arquivo projeto dal adicionar arquivo módulo parada produção disponível versão
módulo parada produção disponível versão sisap nº disponível versão dev favor atualizar deploy porta sisap dev homologação versão constar seguinte funcionalidade commitada período finalização cadastro motivo plano comunicação ajuste geral sistema teste versão final cadastro lista plano comunicação versão inicial cadastro lista plano comunicação diálogo versão inicial cadastro lista comunicação pequeno ajuste lógico layout versão completo cadastro grupo plano comunicação versão inicial cadastro grupo plano comunicação pequeno correção layout versão inicial Código cadastro grupo plano comunicação parada produção versão inicial cadastro plano versão inicial cadastro motivo versão inicial cadastro subcategoria parada ajustir layout diálogo ajustir lógica modal implementação edição categoria cadastro categoria versão inicial ajuste validação lógica numeração parada produção ajuste mapeamento ajuste classe mapeamento tabela ajustir comentário página index ajuste código página disponível versão sisap nº módulo parada produção;Nova instalação;módulo parada produção disponível versão disponível versão dev atualizar deploy porta dev homologação versão constar seguinte funcionalidade commitada período finalização cadastro motivo plano comunicação ajuste geral teste versão final cadastro lista plano comunicação versão inicial cadastro lista plano comunicação diálogo versão inicial cadastro lista comunicação pequeno ajuste lógico layout versão completo cadastro grupo plano comunicação versão inicial cadastro grupo plano comunicação pequeno correção layout versão inicial código cadastro grupo plano comunicação parada produção versão inicial cadastro plano versão inicial cadastro motivo versão inicial cadastro subcategoria parada ajustir layout diálogo ajustir lógica modal implementação edição categoria cadastro categoria versão inicial ajuste validação lógica numeração parada produção ajuste mapeamento ajuste classe mapeamento tabela ajustir comentário página index ajuste código página disponível versão módulo parada produção
ajuste validação módulo inspeção posto oba disponível versão sisap nº disponível versão dev favor atualizar deploy porta disponível sisap dev homologação versão constar seguinte funcionalidade commitada período ajustir validação pedestal versão inicial validação pedestal versão inicial funcional validação serial informar usuário disponível versão sisap nº ajuste posto oba;Nova instalação;ajuste validação módulo inspeção oba disponível versão disponível versão dev atualizar deploy porta disponível dev homologação versão constar seguinte funcionalidade commitada período ajustir validação pedestal versão inicial validação pedestal versão inicial funcional validação serial informar disponível versão ajuste oba
bom dia conforme tratar reunião ontem fase teste novo módulo parada produção arcon durante fase detectar problema acesso algum recurso sistema parecer relacionado infraestrutura rede cadastrar parada produção sistema enviar responsável conforme lista em este link responder parada produção algum caso usuário informar página resposta não carregar corretamente tentar abrir link rede fábrica tv não ocorrer nenhum problema usuário arcon conseguir acessar link sucesso problema parecer relacionar infraestrutura rede favor verifiquir realmente problema disponibilidade de este recurso servidor utilizar teste qualquer dúvida informação adicional contato obrigado teste sistema parada produção arcon problema infraestrutura;Nova instalação;conforme tratar reunião ontem fase teste novo módulo parada produção arcon durante fase detectar algum recurso parecer relacionado infraestrutura rede cadastrar parada produção enviar responsável conforme lista link responder parada produção algum caso informar página resposta carregar corretamente tentar abrir link rede fábrica ocorrer nenhum arcon conseguir acessar link sucesso parecer relacionar infraestrutura rede verifiquir realmente disponibilidade recurso servidor utilizar teste qualquer dúvida informação adicional contato teste parada produção arcon infraestrutura
teste validação kit acessório base pedestal posto oba teste posto oba;Melhorias;teste validação kit acessório base pedestal oba teste oba
ajuste validação módulo inspeção posto oba disponível versão sisap nº disponível versão dev favor atualizar deploy porta versão agora apontar produção verificar porta correto sisap dev homologação versão constar seguinte funcionalidade commitada período validação múltiplo pedestal versão validar versão inicial ajuste lógico suportar diverso número pedestal versão inicial validação pedestal ajustir tratar pedestal lógico validação refatorar uso state machine alterar lógico submit página inspeção oba ajustir retorno função validação serial pedestal ajuste validação kits pedestal incluir pesquisa chave compor serial número ecb ajustir validação pedestal versão inicial validação pedestal versão inicial funcional validação serial informar usuário disponível versão sisap nº;Nova instalação;ajuste validação módulo inspeção oba disponível versão disponível versão dev atualizar deploy porta versão agora apontar produção porta correto dev homologação versão constar seguinte funcionalidade commitada período validação múltiplo pedestal versão validar versão inicial ajuste lógico suportar diverso número pedestal versão inicial validação pedestal ajustir tratar pedestal lógico validação refatorar uso state machine alterar lógico submit página inspeção oba ajustir retorno função validação serial pedestal ajuste validação kits pedestal incluir pesquisa chave compor serial número ecb ajustir validação pedestal versão inicial validação pedestal versão inicial funcional validação serial informar disponível versão
publicar aplicação Workflow ambiente produção stavm criar pasta site iis possível setar porta publicação workflow ambiente produção;Nova instalação;publicar aplicação workflow ambiente produção stavm criar pasta site iis possível setar porta publicação workflow ambiente produção
solicitar meio de este atualização sipap ambiente servidor produção novo release sipap;Nova instalação;solicitar meio atualização sipap ambiente servidor produção novo release sipap
solicitar meio de este cadastro modelo ne tabela item base legado vez não cadastrado cadastro ne modelo ausente tabela item;Corretiva;solicitar meio cadastro modelo tabela item base legado vez cadastrado cadastro modelo ausente tabela item
ne cadastro item ausente base plano edp favor realizar cadastro cadastro ne tabela item;Corretiva;cadastro item ausente base plano edp realizar cadastro cadastro tabela item
mudança servidor sami servidor fazer necessário atualizar views consulta base sami dentro portalrh office automation necessário atualização banco produção desenvolvimento obs favor direcionar chamar cajamar maurício amando atualização views consulta novo servidor sami;Corretiva;mudança servidor sami servidor fazer necessário atualizar views consulta base sami dentro automation necessário atualização banco produção desenvolvimento obs direcionar chamar cajamar maurício amando atualização views consulta novo servidor sami
após algum teste detectar praticamente todo registro ativo flgativo s duplicado banco produção ocasionar erro acessar planoedp solicitar meio de este correção duplicação dado banco esquema dbo tabela duplicação registro tabela usuário prd;Corretiva;após algum teste detectar praticamente todo registro ativo flgativo duplicado banco produção ocasionar erro acessar planoedp solicitar meio correção duplicação banco esquema dbo tabela duplicação registro tabela prd
venho meio de este solicitar ajustir cadastro três funcionário abaixo jozildo Souza Carneiro Marcelo Lima praia halissonr santarém Silva todo funcionário setor qualidade ausência dado cadastro impactar atividade oba servidor banco tabela ajustir cadastro usuário banco;Erro;venho meio solicitar ajustir cadastro três funcionário abaixo praia halissonr santarém silva todo funcionário setor qualidade ausência cadastro impactar atividade oba servidor banco tabela ajustir cadastro banco
colocar cabeçario programa nodejs monitora defeito arcon query fazer aplicação identificador único executar consulta agendar manutenção aplicação deploy acordo janela disponível atualização ajustir aplicação job iot clickhouse arcon;Melhorias;colocar cabeçario programa nodejs monitora defeito arcon query fazer aplicação identificador único executar consulta agendar manutenção aplicação deploy acordo janela disponível atualização ajustir aplicação job iot
lista divergência ordem alimentação op incluir item não fazer parte ordem alimentação ser importar op alternativo correção comparação ordem alimentação x op;Corretiva;lista divergência ordem alimentação incluir item fazer parte ordem alimentação importar alternativo correção comparação ordem alimentação
durante importação dado cm partir arquivo flag r campo left right não carregar correção importação arquivo Cm sipap;Corretiva;durante importação partir arquivo flag campo left right carregar correção importação arquivo sipap
implantar habilitar importação arquivo linha mista compor máquina nxt cm importação arquivo linha mista nxt cm sipap;Melhorias;implantar habilitar importação arquivo mista compor máquina nxt importação arquivo mista nxt sipap
sipap implementar funcionalidade permitir cópia revisão ordem alimentação modelo distinto análogar antigo plano edp cópia revisão ordem alimentação modelo diferente;Melhorias;sipap implementar funcionalidade permitir cópia revisão ordem alimentação modelo distinto análogar antigo plano edp cópia revisão ordem alimentação modelo diferente
implementar funcionalidade permitir exclusão ordem alimentação assim etapa item exclusão ordem alimentação sipap;Melhorias;implementar funcionalidade permitir exclusão ordem alimentação assim etapa item exclusão ordem alimentação sipap
implementar funcionalidade embalagem duplo posto embalagem inicialmente linha iac novo máquina ae sm Siplace configuração permitir configurar dois leitor modelo ap conformidade estrutura máquina asm habilitação embalagem duplo sisap;Melhorias;implementar funcionalidade embalagem duplo embalagem inicialmente iac novo máquina siplace configuração permitir configurar dois leitor modelo conformidade estrutura máquina asm habilitação embalagem duplo
atualmente defeito posto run test ser inserir logo seguida apontar reteste sem aparelho ter passar procedimento correção em este posto específico fazer quatro teste diferente dentre qual aparelho modo quente frio defeito modo frio chegar registrar modo quente não modificação todo defeito contabilizar revisar logo seguida problema inserção defeito iot;Corretiva;atualmente defeito run test inserir logo seguida apontar reteste aparelho ter passar procedimento correção específico fazer quatro teste diferente dentre aparelho modo quente frio defeito modo frio chegar registrar modo quente modificação todo defeito contabilizar revisar logo seguida inserção defeito iot
aplicação responsável gravar dado iot posto sisap apresentar instabilidade erro Timeout após disparar exceção travar processo carga dado problema Timeout aplicação backend iot;Erro;aplicação responsável gravar iot apresentar instabilidade erro timeout após disparar exceção travar processo carga timeout aplicação backend iot
dia março erro contabilização quantidade produzer resumo produção linha iac linha operar normalmente contador resumo produção zerado ajustir resumo produção linha iac;Corretiva;março erro contabilização quantidade produzer resumo produção iac operar normalmente contador resumo produção zerado ajustir resumo produção iac
necessário ajustir numero etapa geração ordem alimentação linha mista modo etapa nxt cm não confundar ordem numeração etapa dever nxt etapa cm etapa ordem alimentação sisap ajustir atribuição etapa linha misturar;Corretiva;necessário ajustir numero etapa geração ordem alimentação mista modo etapa nxt confundar ordem numeração etapa dever nxt etapa etapa ordem alimentação ajustir atribuição etapa misturar
ajustir geração novo ordem alimentação correção geração programa etapa levar consideração mesmo linha revisão contir arquivo sipap ordem alimentação correção geração programa etapa;Corretiva;ajustir geração novo ordem alimentação correção geração programa etapa levar consideração revisão contir arquivo sipap ordem alimentação correção geração programa etapa
melhoria inclusão código programa cabeçalho logs comparação ordem alimentação x ordem produção auditoria máquina x ordem alimentação sipap ordem alimentação inclusão código programa logs;Melhorias;melhoria inclusão código programa cabeçalho logs comparação ordem alimentação ordem produção auditoria máquina ordem alimentação sipap ordem alimentação inclusão código programa logs
ajustar filtro resultado relatório técnico painel forma incluar painel inspecionar forma independente sem associado produto importante evitar painel sem produto não apareçar relatório técnico produto acabar sisap ajustir relatório técnico painel;Melhorias;ajustar filtro resultado relatório técnico painel forma incluar painel inspecionar forma independente associado produto importante evitar painel produto apareçar relatório técnico produto acabar ajustir relatório técnico painel
desenvolvimento aplicação desktop coleta arquivo gerar teste jig realizar gravação serial passagem posteriormente enviar dado mensageiro kafka aplicação possuir setup onde designar linha posto ap embalagem automático imc aplicação desktop jigs teste;Melhorias;desenvolvimento aplicação desktop coleta arquivo gerar teste jig realizar gravação serial passagem posteriormente enviar mensageiro aplicação possuir setup onde designar embalagem automático imc aplicação desktop jigs teste
criação websocket consumir mensagem tópico realizar embalagem partir mensagem enviar resposta serial lote Caixa coletivo contadore status embalagem automático imc websocket embalagem automático;Melhorias;criação websocket consumir mensagem tópico realizar embalagem partir mensagem enviar resposta serial lote caixa coletivo contadore status embalagem automático imc websocket embalagem automático
desenvolvimento painel embalagem linha Imc responsável abrir conexão websocket realizar embalagem consumir dado retorno tempo real pendencia implementar apontamento lote verificação encerramento troca ap quantidade embalar quantidade ap embalagem automático imc painel embalagem;Melhorias;desenvolvimento painel embalagem imc responsável abrir conexão websocket realizar embalagem consumir retorno tempo real pendencia implementar apontamento lote verificação encerramento troca quantidade embalar quantidade embalagem automático imc painel embalagem
implementação endpoint apontamento lote sap sisap integração endpoint painel linha Imc sipap realizar apontamento lote logo fechar embalagem automático imc endpoint sisap apontamento sap lote Imc;Melhorias;implementação endpoint apontamento lote integração endpoint painel imc sipap realizar apontamento lote logo fechar embalagem automático imc endpoint apontamento lote imc
documentação técnico projeto embalagem automático imc conter arquitetura sistema organogramar tecnologia utilizar manual usuário jigapp desktopr painel emb imc manual técnico websocket backend embalagem automático documentação técnico;Melhorias;documentação técnico projeto embalagem automático imc conter arquitetura organogramar tecnologia utilizar manual jigapp desktopr painel emb imc manual técnico websocket backend embalagem automático documentação técnico
implementar funcionalidade rastrear qual ordem alimentação determinar ne item incluso consulta dever retornar modelo descr modelo revisão status etapa posição mecânico left right ordem alimentação relatório rastreamento item;Melhorias;implementar funcionalidade rastrear ordem alimentação determinar item incluso consulta dever retornar modelo descr modelo revisão status etapa posição mecânico left right ordem alimentação relatório rastreamento item
implementação funcionalidade permitir comparar ordem alimentação si afim detectar divergência consulta dever gerar log conter resultado além próprio tela ordem alimentação comparação ordem alimentação;Melhorias;implementação funcionalidade permitir comparar ordem alimentação afim detectar divergência consulta dever gerar log conter resultado além próprio tela ordem alimentação comparação ordem alimentação
implementar funcionalidade verificar ap totalmente consumido caso afirmativo interromper coleta imediatamente jigapp sinalizar mensagem usuário realizar novo setup novo ap mostrar informação painel linha Imc sipap embalagem automático imc verificação consumo ap;Melhorias;implementar funcionalidade totalmente consumido caso afirmativo interromper coleta imediatamente jigapp sinalizar mensagem realizar novo setup novo mostrar informação painel imc sipap embalagem automático imc verificação consumo
teste embalagem automático Imc linha produção utilizar ap separar conjunto placa geral teste bem sucedido embalagem placa fechamento apontamento lote ponto atenção melhoria tempo transporte finalização teste cópia resultado servidor mensagem ap consumir sem ocorrência exibir posto teste vir arquivo doc não ser exibir embalagem automático imc teste protótipo linha;Nova instalação;teste embalagem automático produção utilizar separar conjunto placa geral teste bem sucedido embalagem placa fechamento apontamento lote ponto atenção melhoria tempo transporte finalização teste cópia resultado servidor mensagem consumir ocorrência exibir teste vir arquivo doc exibir embalagem automático imc teste protótipo
painel online exibir produção esperar previsto valor negativo dar conta calculo minuto inicio produção intervalo total painel onlinar sisap análise correção prever negativo;Corretiva;painel online exibir produção esperar previsto valor negativo dar conta calculo minuto inicio produção intervalo total painel onlinar análise correção prever negativo
série ajuste melhoria embalagem automático imc inclusão atualização tabela proddiaplaco teste fechamento apontamento lote novo ambiente sap inclusão informação acerca posto origem teste placa embalagem automático imc ajuste melhoria;Melhorias;série ajuste melhoria embalagem automático imc inclusão atualização tabela proddiaplaco teste fechamento apontamento lote novo ambiente inclusão informação acerca origem teste placa embalagem automático imc ajuste melhoria
realização impressão etiqueta novo projeto Caixa elétrico arcon adaptar sistema etiqueta produto sisap imprimir etiqueta etq ir gerar etqproduto seguir padrão seguir teste caixa produto impressão etq novo projeto arcon etiqueta Caixa elétrico;Avaliação_Técnica;realização impressão etiqueta novo projeto caixa elétrico arcon adaptar etiqueta produto imprimir etiqueta etq gerar etqproduto seguir padrão seguir teste caixa produto impressão etq novo projeto arcon etiqueta caixa elétrico
durante migração novo ambiente sap prd detectar problema importação ordem sap sisap registro não ser devidamente atualizar acarretar consequencia parar linha interferência planejamento outro integrator sap ordem não funcionar corretamente;Corretiva;durante migração novo ambiente prd detectar importação ordem registro devidamente atualizar acarretar consequencia parar interferência planejamento outro integrator ordem funcionar corretamente
realizar conjunto ajuste melhoria módulo ordem alimentação sipap remover campo ap formulário adicionar editar item incluir informação cabeçalho preencher automaticamente campo formulário adicionar etapa ajuste nomenclatura cabeçalho arquivo log comparação ordem alimentação op ajuste nomenclatura cabeçalho arquivo log auditoria programa sipap ordem alimentação ajuste melhoria;Melhorias;realizar conjunto ajuste melhoria módulo ordem alimentação sipap remover campo formulário adicionar editar item incluir informação cabeçalho preencher automaticamente campo formulário adicionar etapa ajuste nomenclatura cabeçalho arquivo log comparação ordem alimentação ajuste nomenclatura cabeçalho arquivo log auditoria programa sipap ordem alimentação ajuste melhoria
realizar ajuste ordem alimentação relatório comparação ordem ajustar campo entrada Campos texto pesquisa modificar tabela retorno tela detalhamento iac criar novo campo permitir identificar tipo ordem linha piloto ecn etc incorporar informação campo Código nomdocldc Logs comparação ordem alimentação x op auditoria programa arquivo sem conteúdo não ocorrer divergência sipap ordem alimentação melhoria;Melhorias;realizar ajuste ordem alimentação relatório comparação ordem ajustar campo entrada campos texto pesquisa modificar tabela retorno tela detalhamento iac criar novo campo permitir identificar tipo ordem piloto ecn etc incorporar informação campo código nomdocldc logs comparação ordem alimentação auditoria programa arquivo conteúdo ocorrer divergência sipap ordem alimentação melhoria
implementação relatório comparação plano listar técnico similar relatório existente plano edp disponibilizar opção selecionar comparação plano comparação ordem sipap ordem alimentação comparação ordem plano;Melhorias;implementação relatório comparação plano listar técnico similar relatório existente plano edp disponibilizar opção selecionar comparação plano comparação ordem sipap ordem alimentação comparação ordem plano
implementação relatório auditoria programa x ordem alimentação molde atual auditoria programa x op input revisão ordem alimentação partir modelo importar planilha sipap ordem alimentação auditoria programa x ordem alimentação;Melhorias;implementação relatório auditoria programa ordem alimentação molde atual auditoria programa input revisão ordem alimentação partir modelo importar planilha sipap ordem alimentação auditoria programa ordem alimentação
criar layout tela cadastro inicial módulo scm centro trabalho linha cadastro manutenção preventivo cadastro Setup capacidade scm layout cadastro;Melhorias;criar layout tela cadastro inicial módulo scm centro trabalho cadastro manutenção preventivo cadastro setup capacidade scm layout cadastro
pesquisa ferramenta visual realizar distribuição automático aps horizonte determinar período tempo implementação tela funcionalidade integração distribuição automático aps scm pesquisa teste distribuição automático aps;Melhorias;pesquisa ferramenta visual realizar distribuição automático determinar período tempo implementação tela funcionalidade integração distribuição automático aps scm pesquisa teste distribuição automático aps
adequação horário entrada saída intervalo novo jornada unidade televisor tcl semp sisap adequação horário novo jornada tv;Corretiva;adequação horário entrada saída intervalo novo jornada unidade televisor tcl semp adequação horário novo jornada
ajustir procedure auditoria ordem alimentação atualmente auditoria não produzir apontar divergência dar existir sipap ajustir procedure auditoria ordem alimentação;Corretiva;ajustir procedure auditoria ordem alimentação atualmente auditoria produzir apontar divergência dar existir sipap ajustir procedure auditoria ordem alimentação
adaptação teste jigapp kafka painel linha embalagem automático imc linha rede teste inicial linha reder jigapp adaptação teste linha rede;Melhorias;adaptação teste painel embalagem automático imc rede teste inicial reder jigapp adaptação teste rede
implementar disponibilizar endpoint receber conjunto dado fornecir partir estação teste resultado inserção registro passagem defeito depender resultado teste iot Endpoint acesso inserção dado;Melhorias;implementar disponibilizar endpoint receber conjunto fornecir partir estação teste resultado inserção registro passagem defeito depender resultado teste iot endpoint inserção
correção relatório produção hora hora relatório ritmo produção gap minuto fim comercial início turnão representar inconsistencia dado sisap correção distribuição ritmo produção;Corretiva;correção relatório produção hora hora relatório ritmo produção gap minuto fim comercial início representar inconsistencia correção distribuição ritmo produção
ajustar software pcp novo linha cadastrar lcd apareçar filtro busca tamber ajustar gravação indicar registro repetir linha novo pcp legar ajustir visualização novo linha;Corretiva;ajustar software pcp novo cadastrar lcd apareçar filtro busca tamber ajustar gravação indicar registro repetir novo pcp legar ajustir visualização novo
disponível versão sisap nº disponível versão prod n versão qa favor atualizar deploy sisap homolog versão constar seguinte funcionalidade commitada período criação api verificar passagem serial linha posto correção exibição nome operador relatório série subtela leitura posto correção relatório técnico não exibir painel correspondente produto acabar disponível versão sisap nº;Nova instalação;disponível versão disponível versão prod versão atualizar deploy homolog versão constar seguinte funcionalidade commitada período criação api passagem serial correção exibição nome operador relatório série subtela leitura correção relatório técnico exibir painel correspondente produto acabar disponível versão
versão sipap homolog disponível deploy conter modificação calculo ppm painel iac excluir quantidade ponto restabelecer valor referencia através input usuário modificação consistir dois etapa tela configuração setar valor referencia ppm painel modificar novo cálculo novo valor publicação encontrar caminho disponível versão sipap;Melhorias;versão sipap homolog disponível deploy conter modificação calculo ppm painel iac excluir quantidade ponto restabelecer valor referencia input modificação consistir dois etapa tela configuração setar valor referencia ppm painel modificar novo cálculo novo valor publicação encontrar caminho disponível versão sipap
implementar módulo gerenciamento po conter principal funcionalidade cadastro listagem edição exclusão módulo responsável organizar informação relativo embarque transporte desembarque componente fundamental planjamento ordem produção módulo scm pcp gerenciamento po;Avaliação_Técnica;implementar módulo gerenciamento conter principal funcionalidade cadastro listagem edição exclusão módulo responsável organizar informação relativo embarque transporte desembarque componente fundamental planjamento ordem produção módulo scm pcp gerenciamento
implementação processo auditoria linha montagem rede buscar identificar placa montar item ap montagem final equivalente afim evitar erro montagem posterior retrabalho sisap auditor linha montagem rede;Melhorias;implementação processo auditoria montagem rede buscar identificar placa montar item montagem final equivalente afim evitar erro montagem posterior retrabalho auditor montagem rede
solicitar meio de este deploy versão teste sisap ambiente isolar teste modo viabilizar teste funcionalidade auditoria ap posto linha montagem conjunto rede seguir roteiro criar tipo posto chamar auditoria pra distinguir posto demais setar posto teste rede pro tipo posto auditorio adicionar input usuário inserir ap validar fazer teste validação serial ap buscar código item dentro ap exploder fazer teste troca ap caso necessário teste posto passagem não auditorio versão servidor bd servidor aplicação definir localização arquivo deploy deploy ambiente teste apontar;Nova instalação;solicitar meio deploy versão teste ambiente isolar teste modo viabilizar teste funcionalidade auditoria montagem conjunto rede seguir roteiro criar tipo chamar auditoria pra distinguir demais setar teste rede pro tipo auditorio adicionar input inserir validar fazer teste validação serial buscar código item dentro fazer teste troca caso necessário teste passagem auditorio versão servidor servidor aplicação definir localização arquivo deploy deploy ambiente teste apontar
solicitar meio de este deploy sipap homolog versão conter correção painel linha relação quantidade produzer versão localização servidor porta deploy sipap homolog;Corretiva;solicitar meio deploy sipap homolog versão conter correção painel relação quantidade produzer versão localização servidor porta deploy sipap homolog
realizar deploy sisap versão feature auditoria ap posto linha montagem conjunto rede defeito causa placa painel incluso relatório técnico montagem final versão servidor localização deploy deploy sisap qa servidor teste apontar;Melhorias;realizar deploy versão feature auditoria montagem conjunto rede defeito causa placa painel incluso relatório técnico montagem final versão servidor localização deploy deploy servidor teste apontar
ajustir relatório técnico exibir código descrição defeito causa placa painel relatório técnico montagem final sisap ajustir relatório técnico defeito causa placa painel;Melhorias;ajustir relatório técnico exibir código descrição defeito causa placa painel relatório técnico montagem final ajustir relatório técnico defeito causa placa painel
ajustir relatório produção consulta não levar consideração dado turno contingência turno sisap ajustir relatório produção;Corretiva;ajustir relatório produção consulta levar consideração turno contingência turno ajustir relatório produção
implementar redirecionamento arquivo log gerar atividade comparação ordem auditoria ordem alimentação sipap redirecionamento Logs pasta rede;Melhorias;implementar redirecionamento arquivo log gerar atividade comparação ordem auditoria ordem alimentação sipap redirecionamento logs pasta rede
implementação teste funcional teste carga auditoria ap posto linha montagem conjunto rede sisap auditoria ap posto linha montagem conjunto rede;Corretiva;implementação teste funcional teste carga auditoria montagem conjunto rede auditoria montagem conjunto rede
venho meio de este solicitar deploy sisap homolog versão conter featur correção relatório oba remoção coluna porcentagem inspeção remoção cor quantidade inspecionar correção telaamarralote inclusão parâmetro flgembduplar url endpoint histórico amarração lote atual relatório producão diário x programa inclusão coluna diferença acumular conter valor diferença programação produção acumular período estipular sistema sisap versão servidor site obs release preparado produção atualizar breve sisap deploy versão;Melhorias;venho meio solicitar deploy homolog versão conter featur correção relatório oba remoção coluna porcentagem inspeção remoção cor quantidade inspecionar correção telaamarralote inclusão parâmetro flgembduplar url endpoint histórico amarração lote atual relatório producão diário programa inclusão coluna diferença acumular conter valor diferença programação produção acumular período estipular versão servidor site obs release preparado produção atualizar breve deploy versão
solicitar meio de este deploy sisap dev versão conter ajustir desamarração placo rede amarrar produto acabar levar consideração item desassociar alternativa posição selecionar agora usuário poder optar imputar item desassociar posição sistema sisap dev servidor porta versão localização deploy sisap dev versão;Corretiva;solicitar meio deploy dev versão conter ajustir desamarração placo rede amarrar produto acabar levar consideração item desassociar alternativa posição selecionar agora poder optar imputar item desassociar posição dev servidor porta versão localização deploy dev versão
análise implementação inspeção oqc inline partir posto embalagem desvio dever fazer partir código defeito fazer desvio produto p inspeção operação dever realizar desvio inspeção após realizar devolução linha produção sisap análise implementação inspeção oqc inline;Melhorias;análise implementação inspeção oqc inline partir embalagem desvio dever fazer partir código defeito fazer desvio produto inspeção operação dever realizar desvio inspeção após realizar devolução produção análise implementação inspeção oqc inline
solicitar meio de este atualização sisap homolog versão conter correção desassociação posto técnico não limpar valor serial item desassociar após salvar defeito implicar lançamento incorreto defeito posterior sistema sisap versão local atualização sisap homolog deploy;Corretiva;solicitar meio atualização homolog versão conter correção desassociação técnico limpar valor serial item desassociar após salvar defeito implicar lançamento incorreto defeito posterior versão local atualização homolog deploy
